carrier,flights,delay_rate,name
F9,527687,0.2972671299463508,Frontier
B6,765460,0.2921916233376009,JetBlue
G4,341773,0.26378619727128827,Allegiant
NK,739503,0.2521707146556539,Spirit
AA,2740111,0.23278619004850534,American
WN,4087700,0.2128837732710326,Southwest
AS,704457,0.19786587399940664,Alaska
HA,230577,0.19784280305494478,Hawaiian
UA,2078839,0.19303755605893483,United
YV,110665,0.1918040934351421,Mesa
OH,622003,0.1873495786997812,PSA
MQ,741951,0.1820538013965882,Envoy
OO,2116996,0.1677650784413386,SkyWest
DL,2847949,0.15982414010925056,Delta
QX,87121,0.1589283869560726,Horizon
YX,882646,0.15109341683982028,Republic
9E,615224,0.14944312965684042,Endeavor
