dep_hour,flights,delay_rate
0,34424,0.20360794794329537
1,11159,0.22394479792096067
2,4548,0.22845206684256816
3,2968,0.22809973045822102
4,1502,0.20838881491344874
5,558315,0.08510249590285054
6,1434565,0.09589805969056822
7,1382321,0.1194613986187
8,1379480,0.13422231565517442
9,1144616,0.14786356297657904
10,1277438,0.15763426483320522
11,1258769,0.17143336068810083
12,1213211,0.18550112058001453
13,1221031,0.20758113430371547
14,1153910,0.22681578286001508
15,1165625,0.24298638069705095
16,1154171,0.25897115765341533
17,1245998,0.26729737928953334
18,1226635,0.27863789961969126
19,1089531,0.2866985886587899
20,910312,0.2917010870998075
21,689119,0.27911870083396334
22,508341,0.2662602465667731
23,172672,0.21835039844329132
