origin,flights,delay_rate
ATL,982873,0.18485806406321062
DFW,854943,0.24265945215061122
DEN,852308,0.23916354181821595
ORD,783393,0.21584185715215734
CLT,593267,0.23095671931862044
LAX,572031,0.1769869115485
LAS,546473,0.24209979267045215
PHX,528993,0.1885242337800311
SEA,494114,0.18940973135754097
LGA,477045,0.1934429665964427
MCO,459363,0.2653217607861321
DCA,411314,0.1955270182877315
BOS,410226,0.21088131907777663
SFO,394403,0.1878662180561507
EWR,383216,0.23115945054486242
JFK,381771,0.2288675672065191
DTW,377612,0.1715226211031429
MSP,363175,0.17219246919529152
IAH,346809,0.21106718683771183
SLC,328721,0.16125833153342806
MIA,312537,0.2612618665949952
BNA,278576,0.19119737522256045
BWI,275580,0.2517562958124682
PHL,272768,0.20543465509150632
SAN,266965,0.20274193246305697
AUS,262602,0.20786589591853832
FLL,259651,0.2748304454825901
MDW,236123,0.24764635380712594
TPA,224077,0.20706721350250137
DAL,209029,0.2208832267293055
STL,182779,0.1992789105969504
HNL,176585,0.166259874847807
PDX,174806,0.15365033236845418
RDU,170901,0.19545818924406527
HOU,160374,0.20068714380136432
SMF,159590,0.16244752177454727
IAD,156353,0.1767283007041758
SJC,153620,0.15699778674651738
MSY,145110,0.20124732961201847
MCI,140349,0.1734176944616634
