origin,flights,delay_rate
FLL,259651,0.2748304454825901
MCO,459363,0.2653217607861321
MIA,312537,0.2612618665949952
SJU,95769,0.2534745063642724
BWI,275580,0.2517562958124682
MDW,236123,0.24764635380712594
PBI,79203,0.24302109768569372
DFW,854943,0.24265945215061122
LAS,546473,0.24209979267045215
DEN,852308,0.23916354181821595
EWR,383216,0.23115945054486242
CLT,593267,0.23095671931862044
JFK,381771,0.2288675672065191
DAL,209029,0.2208832267293055
ORD,783393,0.21584185715215734
RSW,100735,0.2122301087010473
IAH,346809,0.21106718683771183
BOS,410226,0.21088131907777663
AUS,262602,0.20786589591853832
TPA,224077,0.20706721350250137
PHL,272768,0.20543465509150632
SAN,266965,0.20274193246305697
MSY,145110,0.20124732961201847
HOU,160374,0.20068714380136432
STL,182779,0.1992789105969504
